flags,intent,utterance,category,input_ids,attention_mask,labels
BIP,recover_password,will you give me information about a password recovery?,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2097, 2017, 2507, 2033, 2592, 2055, 1037, 20786, 7233, 1029, 102]"
BE,create_account,I do not know what I need to do to register,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2342, 2000, 2079, 2000, 4236, 102]"
BELQ,edit_account,i do not know how i can change the info on my profile,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 2689, 1996, 18558, 2006, 2026, 6337, 102]"
BM,place_order,I try to buy some items,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 4965, 2070, 5167, 102]"
BLZ,contact_customer_service,I don't know what I have to do to contcat customer support,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 9530, 13535, 4017, 8013, 2490, 102]"
BLZ,create_account,I want assisatance to create another account for my fiancee,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 4632, 14268, 26897, 2000, 3443, 2178, 4070, 2005, 2026, 19455, 102]"
BM,delivery_options,assistance to check what options for delivery you offer,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 5375, 2000, 4638, 2054, 7047, 2005, 6959, 2017, 3749, 102]"
BIL,complaint,where to file a consumer claim?,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2073, 2000, 5371, 1037, 7325, 4366, 1029, 102]"
BMP,check_invoice,I would like to check the invoice from 4 purchases ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 4638, 1996, 1999, 6767, 6610, 2013, 1018, 17402, 3283, 102]"
B,track_refund,I have to check my refund status,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 4638, 2026, 25416, 8630, 3570, 102]"
BLQ,recover_password,help me recover my account pwd,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 8980, 2026, 4070, 1052, 21724, 102]"
BP,get_refund,I would like to get my money back,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 2131, 2026, 2769, 2067, 102]"
BLQZ,check_cancellation_fee,need to check the  cancellation charge,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2342, 2000, 4638, 1996, 16990, 3715, 102]"
BK,delivery_options,check delivery options,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 4638, 6959, 7047, 102]"
BE,check_invoice,I do not know how I can check my invoice,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 4638, 2026, 1999, 6767, 6610, 102]"
B,get_invoice,help me to get the invoice from my last purchase,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 2131, 1996, 1999, 6767, 6610, 2013, 2026, 2197, 5309, 102]"
B,track_refund,I try to check the status of my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 4638, 1996, 3570, 1997, 2026, 25416, 8630, 102]"
BIL,create_account,how to open a new standard account?,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2000, 2330, 1037, 2047, 3115, 4070, 1029, 102]"
BLMQ,check_cancellation_fee,want help seeing the termination charges,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2215, 2393, 3773, 1996, 18287, 5571, 102]"
BIM,get_invoice,can I get the invoices from my last purchase?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 1045, 2131, 1996, 1999, 6767, 23522, 2013, 2026, 2197, 5309, 1029, 102]"
BIM,get_refund,how do I get refunds?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 2131, 25416, 26698, 1029, 102]"
BM,delivery_period,I want to know about the delivery periods,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 2113, 2055, 1996, 6959, 6993, 102]"
B,get_invoice,I need help getting the invoice from my last purchase,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2893, 1996, 1999, 6767, 6610, 2013, 2026, 2197, 5309, 102]"
B,place_order,I am trying to buy something,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 4965, 2242, 102]"
B,set_up_shipping_address,I want to set another shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 2275, 2178, 7829, 4769, 2039, 102]"
BIP,create_account,could you help me registering?,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 25719, 1029, 102]"
BM,change_order,problems with adding an item to an order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 3471, 2007, 5815, 2019, 8875, 2000, 2019, 2344, 102]"
B,get_refund,assistance to get my money back,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 5375, 2000, 2131, 2026, 2769, 2067, 102]"
B,contact_customer_service,I don't know how I can contact customer service,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2064, 3967, 8013, 2326, 102]"
BE,create_account,I do not know what I have to do to create an account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 3443, 2019, 4070, 102]"
BM,change_order,I want help to add some items,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 5587, 2070, 5167, 102]"
B,contact_customer_service,check what hours I can contact customer service,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 4638, 2054, 2847, 1045, 2064, 3967, 8013, 2326, 102]"
BM,check_invoice,I don't know how I can check the invoices from 2 months ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2064, 4638, 1996, 1999, 6767, 23522, 2013, 1016, 2706, 3283, 102]"
B,cancel_order,I want help canceling the order I have made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 17542, 2075, 1996, 2344, 1045, 2031, 2081, 102]"
BL,newsletter_subscription,I need help to cancel my company newsletter subscription,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 17542, 2026, 2194, 17178, 15002, 102]"
BEM,check_invoice,I do not know how I can take a quick look at the invoices,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 2202, 1037, 4248, 2298, 2012, 1996, 1999, 6767, 23522, 102]"
BK,track_order,track order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2650, 2344, 102]"
BIM,delivery_options,how to check what options for delivery you offer?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2000, 4638, 2054, 7047, 2005, 6959, 2017, 3749, 1029, 102]"
BIP,delivery_options,how could I get information about the delivery options?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 2131, 2592, 2055, 1996, 6959, 7047, 1029, 102]"
BELZ,contact_customer_service,I do not know what I have to do to call cutomer support,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 2655, 3013, 8462, 2099, 2490, 102]"
B,check_refund_policy,I try to check your money back policy,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 4638, 2115, 2769, 2067, 3343, 102]"
BL,check_cancellation_fee,assistance to see the cancellation penalty,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 5375, 2000, 2156, 1996, 16990, 6531, 102]"
BL,contact_human_agent,I want assistance to chat with a person,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 11834, 2007, 1037, 2711, 102]"
BLQ,contact_human_agent,need assistance to chat with a live agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2342, 5375, 2000, 11834, 2007, 1037, 2444, 4005, 102]"
BP,check_payment_methods,I would like to check what payment methods are available,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 4638, 2054, 7909, 4725, 2024, 2800, 102]"
BM,change_order,I have got to remove several items from an order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 6366, 2195, 5167, 2013, 2019, 2344, 102]"
BIP,contact_human_agent,would it be possible to talk to an agent?,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 2831, 2000, 2019, 4005, 1029, 102]"
B,delivery_period,I call to check when will my item arrive,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2655, 2000, 4638, 2043, 2097, 2026, 8875, 7180, 102]"
B,track_refund,check the status of my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 4638, 1996, 3570, 1997, 2026, 25416, 8630, 102]"
B,check_cancellation_fee,help me to check the cancellation fee,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 4638, 1996, 16990, 7408, 102]"
B,change_shipping_address,tell me about changing the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2425, 2033, 2055, 5278, 1996, 7829, 4769, 102]"
BM,place_order,I have got to buy several items,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 4965, 2195, 5167, 102]"
BIP,recover_password,how could I get information about a forgotten password?,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 2131, 2592, 2055, 1037, 6404, 20786, 1029, 102]"
BM,check_invoice,show me the invoices from 10 purchases ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2265, 2033, 1996, 1999, 6767, 23522, 2013, 2184, 17402, 3283, 102]"
BILP,registration_problems,would it be possible to inform of a sign-up problem?,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 12367, 1997, 1037, 3696, 1011, 2039, 3291, 1029, 102]"
BM,check_invoice,assistance checking the invoice from two purchases ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 5375, 9361, 1996, 1999, 6767, 6610, 2013, 2048, 17402, 3283, 102]"
B,newsletter_subscription,tell me about canceling the company newsletter subscription,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2425, 2033, 2055, 17542, 2075, 1996, 2194, 17178, 15002, 102]"
B,contact_human_agent,I want help talking to an agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 3331, 2000, 2019, 4005, 102]"
BIM,registration_problems,can you help me report registration issues?,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 3189, 8819, 3314, 1029, 102]"
BI,delivery_period,where can I find information about the delivery period?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2064, 1045, 2424, 2592, 2055, 1996, 6959, 2558, 1029, 102]"
BIP,get_refund,could you help me to get a refund?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 2131, 1037, 25416, 8630, 1029, 102]"
BILQ,registration_problems,where can i report a sign-up issue,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2064, 1045, 3189, 1037, 3696, 1011, 2039, 3277, 102]"
BI,cancel_order,how do I cancel the last order I have made?,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 17542, 1996, 2197, 2344, 1045, 2031, 2081, 1029, 102]"
BELQ,check_payment_methods,i do not know how to list the allowed payment options,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 2862, 1996, 3039, 7909, 7047, 102]"
BIM,payment_issue,is it possible to report payment issues?,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 3189, 7909, 3314, 1029, 102]"
BE,check_invoice,I do not know how to take a quick look at the invoice,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 2202, 1037, 4248, 2298, 2012, 1996, 1999, 6767, 6610, 102]"
BKM,get_invoice,getting invoices from ten months ago,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2893, 1999, 6767, 23522, 2013, 2702, 2706, 3283, 102]"
BIMP,get_invoice,could you help me get the invoices from last month?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2131, 1996, 1999, 6767, 23522, 2013, 2197, 3204, 1029, 102]"
BM,get_invoice,I want to get my invoices,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 2131, 2026, 1999, 6767, 23522, 102]"
BI,check_refund_policy,how can I check your refund policy?,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 4638, 2115, 25416, 8630, 3343, 1029, 102]"
BIP,change_order,could I add something to an order?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 1045, 5587, 2242, 2000, 2019, 2344, 1029, 102]"
B,contact_human_agent,I want assistance to contact an agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 3967, 2019, 4005, 102]"
BIL,newsletter_subscription,is it possible to sign up to your corporate newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 3696, 2039, 2000, 2115, 5971, 17178, 1029, 102]"
BIMP,place_order,could you help me to buy several of your item?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 4965, 2195, 1997, 2115, 8875, 1029, 102]"
BILQ,delete_account,can ya tell me about my user account termination,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 2064, 8038, 2425, 2033, 2055, 2026, 5310, 4070, 18287, 102]"
B,get_invoice,I need to get the invoice,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2000, 2131, 1996, 1999, 6767, 6610, 102]"
BIL,create_account,how to open another account?,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2000, 2330, 2178, 4070, 1029, 102]"
B,recover_password,tell me about a forgotten password,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2425, 2033, 2055, 1037, 6404, 20786, 102]"
BLQZ,delete_account,wanna know more about my user acount removal,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 10587, 2113, 2062, 2055, 2026, 5310, 9353, 21723, 8208, 102]"
BIP,change_shipping_address,how could I get information about a shipping address change?,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 2131, 2592, 2055, 1037, 7829, 4769, 2689, 1029, 102]"
BE,change_shipping_address,I do not know what to do to change the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 2689, 1996, 7829, 4769, 102]"
BI,edit_account,can I edit my account?,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2064, 1045, 10086, 2026, 4070, 1029, 102]"
B,set_up_shipping_address,I want assistance to set a new shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 2275, 1037, 2047, 7829, 4769, 2039, 102]"
BK,review,leave review,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2681, 3319, 102]"
B,change_order,help adding an item,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 5815, 2019, 8875, 102]"
BM,check_invoice,I need help to take a quick look at the invoices,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 2202, 1037, 4248, 2298, 2012, 1996, 1999, 6767, 23522, 102]"
BIP,change_order,could you help me add something to an order?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 5587, 2242, 2000, 2019, 2344, 1029, 102]"
B,set_up_shipping_address,I need help setting a new shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 4292, 1037, 2047, 7829, 4769, 2039, 102]"
BLQ,registration_problems,i need support with our account registration,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2490, 2007, 2256, 4070, 8819, 102]"
BLMQ,edit_account,i have to update some of the details included on my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 10651, 2070, 1997, 1996, 4751, 2443, 2006, 2026, 4070, 102]"
BL,switch_account,I have to use my new account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 2224, 2026, 2047, 4070, 102]"
BIL,check_payment_methods,can you tell me what payment options are accepted?,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2425, 2033, 2054, 7909, 7047, 2024, 3970, 1029, 102]"
BELW,registration_problems,I do not know what to do to report a fucking sign-up error,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 3189, 1037, 8239, 3696, 1011, 2039, 7561, 102]"
BIM,delivery_options,where to check what delivery options I have?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2000, 4638, 2054, 6959, 7047, 1045, 2031, 1029, 102]"
BIP,review,would it be possible to submit some feedback?,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 12040, 2070, 12247, 1029, 102]"
BI,check_refund_policy,are the service charges refundable?,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2024, 1996, 2326, 5571, 25416, 18426, 3468, 1029, 102]"
BL,create_account,I am trying to open another online account for my wife,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 2330, 2178, 3784, 4070, 2005, 2026, 2564, 102]"
BIM,place_order,where to buy some items?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2000, 4965, 2070, 5167, 1029, 102]"
B,cancel_order,I want assistance to cancel the last order I have made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 17542, 1996, 2197, 2344, 1045, 2031, 2081, 102]"
B,payment_issue,I want assistance to report a payment issue,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 3189, 1037, 7909, 3277, 102]"
BLQW,contact_human_agent,i dont know what to do to talk to a fucking live agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 2102, 2113, 2054, 2000, 2079, 2000, 2831, 2000, 1037, 8239, 2444, 4005, 102]"
B,delivery_period,I need help checking how long the delivery takes,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 9361, 2129, 2146, 1996, 6959, 3138, 102]"
B,track_order,assistance tracking an order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 9651, 2019, 2344, 102]"
BI,delete_account,is it possible to delete the account?,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 3972, 12870, 1996, 4070, 1029, 102]"
BK,edit_account,edit personal information,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 10086, 3167, 2592, 102]"
BM,payment_issue,I need help solving issues with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 13729, 3314, 2007, 7909, 102]"
BEM,delete_account,I am looking for information about user account deletions,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2572, 2559, 2005, 2592, 2055, 5310, 4070, 3972, 20624, 5644, 102]"
B,check_invoice,I want assistance taking a quick look at my invoice,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2635, 1037, 4248, 2298, 2012, 2026, 1999, 6767, 6610, 102]"
BIP,check_payment_methods,could you tell me what payment methods are available?,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2425, 2033, 2054, 7909, 4725, 2024, 2800, 1029, 102]"
BEP,track_refund,I do not know how I could check the status of the refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2071, 4638, 1996, 3570, 1997, 1996, 25416, 8630, 102]"
BIP,delivery_period,how could I find information about delivery periods?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 2424, 2592, 2055, 6959, 6993, 1029, 102]"
BILQ,recover_password,how to retrieve my user account key,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2000, 12850, 2026, 5310, 4070, 3145, 102]"
B,review,I need to leave a review for your services,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2342, 2000, 2681, 1037, 3319, 2005, 2115, 2578, 102]"
B,complaint,I don't know what I have to do to file a complaint,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 5371, 1037, 12087, 102]"
B,track_order,I don't know what I have to do to check my order ETA,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 4638, 2026, 2344, 27859, 102]"
BL,contact_customer_service,check what hours I can reach customer assistance,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 4638, 2054, 2847, 1045, 2064, 3362, 8013, 5375, 102]"
BIP,check_payment_methods,will you show me what payment methods are available?,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2097, 2017, 2265, 2033, 2054, 7909, 4725, 2024, 2800, 1029, 102]"
BILQ,check_cancellation_fee,how do i see the termination penalty,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 2156, 1996, 18287, 6531, 102]"
BLQ,recover_password,I need assistance to retrieve my online account pwd,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 12850, 2026, 3784, 4070, 1052, 21724, 102]"
