flags,utterance,category,intent
BM,I want to get my invoices,INVOICE,get_invoice
BI,how can I check your refund policy?,REFUND,check_refund_policy
BIP,could I add something to an order?,ORDER,change_order
B,I want assistance to contact an agent,CONTACT,contact_human_agent
BIL,is it possible to sign up to your corporate newsletter?,NEWSLETTER,newsletter_subscription
BIMP,could you help me to buy several of your item?,ORDER,place_order
BILQ,can ya tell me about my user account termination,ACCOUNT,delete_account
B,I need to get the invoice,INVOICE,get_invoice
BIL,how to open another account?,ACCOUNT,create_account
B,tell me about a forgotten password,ACCOUNT,recover_password
BLQZ,wanna know more about my user acount removal,ACCOUNT,delete_account
BIP,how could I get information about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
BE,I do not know what to do to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can I edit my account?,ACCOUNT,edit_account
B,I want assistance to set a new shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BK,leave review,FEEDBACK,review
B,help adding an item,ORDER,change_order
BM,I need help to take a quick look at the invoices,INVOICE,check_invoice
BIP,could you help me add something to an order?,ORDER,change_order
B,I need help setting a new shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BLQ,i need support with our account registration,ACCOUNT,registration_problems
BLMQ,i have to update some of the details included on my account,ACCOUNT,edit_account
BL,I have to use my new account,ACCOUNT,switch_account
BIL,can you tell me what payment options are accepted?,PAYMENT,check_payment_methods
BELW,I do not know what to do to report a fucking sign-up error,ACCOUNT,registration_problems
BIM,where to check what delivery options I have?,DELIVERY,delivery_options
BIP,would it be possible to submit some feedback?,FEEDBACK,review
BI,are the service charges refundable?,REFUND,check_refund_policy
BL,I am trying to open another online account for my wife,ACCOUNT,create_account
BIM,where to buy some items?,ORDER,place_order
B,I want assistance to cancel the last order I have made,ORDER,cancel_order
B,I want assistance to report a payment issue,PAYMENT,payment_issue
BLQW,i dont know what to do to talk to a fucking live agent,CONTACT,contact_human_agent
B,I need help checking how long the delivery takes,DELIVERY,delivery_period
B,assistance tracking an order,ORDER,track_order
BI,is it possible to delete the account?,ACCOUNT,delete_account
BK,edit personal information,ACCOUNT,edit_account
BM,I need help solving issues with payment,PAYMENT,payment_issue
BEM,I am looking for information about user account deletions,ACCOUNT,delete_account
B,I want assistance taking a quick look at my invoice,INVOICE,check_invoice
BIP,could you tell me what payment methods are available?,PAYMENT,check_payment_methods
BEP,I do not know how I could check the status of the refund,REFUND,track_refund
BIP,how could I find information about delivery periods?,DELIVERY,delivery_period
BILQ,how to retrieve my user account key,ACCOUNT,recover_password
B,I need to leave a review for your services,FEEDBACK,review
B,I don't know what I have to do to file a complaint,FEEDBACK,complaint
B,I don't know what I have to do to check my order ETA,ORDER,track_order
BL,check what hours I can reach customer assistance,CONTACT,contact_customer_service
BIP,will you show me what payment methods are available?,PAYMENT,check_payment_methods
BILQ,how do i see the termination penalty,CANCELLATION_FEE,check_cancellation_fee
BLQ,I need assistance to retrieve my online account pwd,ACCOUNT,recover_password
BI,what do I have to do to set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address
BIP,would it be possible to check when will my item arrive?,DELIVERY,delivery_period
BL,show me the payment options,PAYMENT,check_payment_methods
B,I need help to get my money back,REFUND,get_refund
B,show me your refund policy,REFUND,check_refund_policy
B,I want assistance to report an issue with payment,PAYMENT,payment_issue
B,help me checking my order ETA,ORDER,track_order
BI,can you show me what payment methods are available?,PAYMENT,check_payment_methods
B,I want help checking the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BIP,could I check the invoice from my last purchase?,INVOICE,check_invoice
BEP,I do not know how I could make an order,ORDER,place_order
B,I want help deleting an account,ACCOUNT,delete_account
B,I need assistance with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
B,I want assistance checking the status of the refund,REFUND,track_refund
B,I want assistance checking the options for delivery,DELIVERY,delivery_options
B,help me file a complaint,FEEDBACK,complaint
BIL,how do I file a customer complaint against your business?,FEEDBACK,complaint
B,I want help regarding my registration,ACCOUNT,registration_problems
B,I don't know what to do to check your money back policy,REFUND,check_refund_policy
BELQ,i do not know how to talk with somebody,CONTACT,contact_human_agent
BIMP,would you give me information about canceling orders?,ORDER,cancel_order
BI,where do I track the refund?,REFUND,track_refund
BIP,could you help me to edit the information on my account?,ACCOUNT,edit_account
BKM,checking invoices from three months ago,INVOICE,check_invoice
B,I want help to check my order ETA,ORDER,track_order
BK,leaving review for your services,FEEDBACK,review
BM,add some items to an order,ORDER,change_order
B,I want assistance to file a complaint,FEEDBACK,complaint
BIL,where do I see what payment options are accepted?,PAYMENT,check_payment_methods
B,assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIP,could you show me when will my item arrive?,DELIVERY,delivery_period
BK,check status of refund,REFUND,track_refund
BL,I need assistance creating a different account for my mum,ACCOUNT,create_account
BL,I want to see at what time I can reach customer service,CONTACT,contact_customer_service
BLM,there are troubles updating the address,SHIPPING_ADDRESS,change_shipping_address
BP,I don't know how I could delete an account,ACCOUNT,delete_account
BEM,I do not know how to get the invoices from six months ago,INVOICE,get_invoice
BI,where to check the invoice from my last purchase?,INVOICE,check_invoice
BIM,how to check what delivery options I can choose?,DELIVERY,delivery_options
BI,where do I set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address
BM,I need to get the invoices from June,INVOICE,get_invoice
B,I can't track my order,ORDER,track_order
BLQW,i have a question about the damn account sign-up,ACCOUNT,registration_problems
BE,I cannot check if there is anything new on my refund,REFUND,track_refund
BLM,I don't know what I have to do to see the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
B,I try to check the status of my order,ORDER,track_order
B,information about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I have to track the last order,ORDER,track_order
BLQW,i need assistance to make a bloody customer claim,FEEDBACK,complaint
BL,assistance lodging a consumer complaint,FEEDBACK,complaint
B,I need help to file a complaint against your business,FEEDBACK,complaint
BIP,could you help me solving a payment issue?,PAYMENT,payment_issue
B,I am trying to get my money back,REFUND,get_refund
BL,give me information about the cancellation of an account,ACCOUNT,delete_account
B,I want help switching to another account,ACCOUNT,switch_account
B,I have to take a quick look at the invoice from last month,INVOICE,check_invoice
BM,assistance checking the invoices,INVOICE,check_invoice
B,help me check how long refunds take,REFUND,check_refund_policy
B,I need assistance checking your refund policy,REFUND,check_refund_policy
B,I have got to get a refund of money,REFUND,get_refund
B,I try to get a refund of money,REFUND,get_refund
BEMP,I do not know how I could get my invoices,INVOICE,get_invoice
BK,review for your company,FEEDBACK,review
B,I am trying to change an order I made,ORDER,change_order
BILQ,can ya help me lodge a complaint against ur business,FEEDBACK,complaint
BIM,where can I get the invoices from last month?,INVOICE,get_invoice
B,I need assistance to track my order,ORDER,track_order
BI,where to get the invoice from September?,INVOICE,get_invoice
BM,problems with forgotten passwords,ACCOUNT,recover_password
BIP,how could I cancel an order?,ORDER,cancel_order
B,I want to check when my delivery is going to arrive,DELIVERY,delivery_period
BIP,could I check in what cases can I ask for a refund?,REFUND,check_refund_policy
B,I don't know how I can make a purchase,ORDER,place_order
BI,what do I have to do to create an account?,ACCOUNT,create_account
BLQ,i want assistance to create a basic account,ACCOUNT,create_account
BM,problems with user account deletions,ACCOUNT,delete_account
BIL,how to see the status of my company newsletter subscription?,NEWSLETTER,newsletter_subscription
BIM,how do I report payment issues?,PAYMENT,payment_issue
BILM,can you help me checking the termination penalties?,CANCELLATION_FEE,check_cancellation_fee
BP,I would like to know more about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQ,wanna receive the company newsletter,NEWSLETTER,newsletter_subscription
BI,can you help me leave a review for a service?,FEEDBACK,review
BILMQ,is it possible to check the termination fees,CANCELLATION_FEE,check_cancellation_fee
BILQ,how can i speak to customer service,CONTACT,contact_customer_service
BLMQ,i have issues trying to correct my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIP,could you help me setting a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address
B,I chose a wrong shipping address by mistake,SHIPPING_ADDRESS,change_shipping_address
BI,when is my item going to arrive?,DELIVERY,delivery_period
BP,I would like information about canceling an order,ORDER,cancel_order
B,I need to check the status of my refund,REFUND,track_refund
BIP,could you help me setting up another shipping address?,SHIPPING_ADDRESS,set_up_shipping_address
BIP,could I delete an account?,ACCOUNT,delete_account
B,I don't know how to register,ACCOUNT,create_account
BE,I do not know how to leave a review for your services,FEEDBACK,review
BIL,what do I need to do to speak with an operator?,CONTACT,contact_human_agent
BK,set up new shipping address,SHIPPING_ADDRESS,set_up_shipping_address
BI,can you show me in what cases can I ask for a refund?,REFUND,check_refund_policy
BI,what do I have to do to report a registration issue?,ACCOUNT,registration_problems
BLW,assistance creating a bloody new account,ACCOUNT,create_account
BK,change shipping address,SHIPPING_ADDRESS,change_shipping_address
BM,help me to check if there is any updates on my refund,REFUND,track_refund
BM,I need help to get refunds,REFUND,get_refund
B,I want help to get the invoice from June,INVOICE,get_invoice
BIP,could I submit some feedback?,FEEDBACK,review
BIL,what do I need to do to open a new account?,ACCOUNT,create_account
BCIL,"I need to subscribe to your newsletter, can you help me?",NEWSLETTER,newsletter_subscription
B,checking your refund policy,REFUND,check_refund_policy
BLQ,want help seeing what hours I can reach customer assistance,CONTACT,contact_customer_service
BIMP,could you give me information about forgotten passwords?,ACCOUNT,recover_password
BLQ,want assistance seeing the early termination fee,CANCELLATION_FEE,check_cancellation_fee
BEM,I do not know what I need to do to report payment issues,PAYMENT,payment_issue
BMP,I would like information about the delivery periods,DELIVERY,delivery_period
BEMP,I do not know how I could check what delivery options I have,DELIVERY,delivery_options
BIP,where could I get a refund?,REFUND,get_refund
BM,I want to buy some items,ORDER,place_order
BILM,what do I need to do to change the user details?,ACCOUNT,edit_account
BL,I try to talk with an agent,CONTACT,contact_human_agent
BLZ,I nede to see the payment methods,PAYMENT,check_payment_methods
BI,is there an e-mail to submit a review?,FEEDBACK,review
BLQ,i need help using a new profile,ACCOUNT,switch_account
B,I am calling to file a complaint against your business,FEEDBACK,complaint
B,I want help filing a complaint against your business,FEEDBACK,complaint
BILQ,where can I retrieve the pass of my account?,ACCOUNT,recover_password
B,I need assistance to contact customer service,CONTACT,contact_customer_service
B,I can't switch user,ACCOUNT,switch_account
BP,I don't know how I could register,ACCOUNT,create_account
B,I need to check at what time I can contact customer service,CONTACT,contact_customer_service
BI,how can I get the invoice from August?,INVOICE,get_invoice
BM,I want help to buy several of your item,ORDER,place_order
BI,can you help me leave a review for your company?,FEEDBACK,review
BELM,I do not know how I can ask for compensations,REFUND,get_refund
BCEL,"I no longer need the online account, assistance deleting it",ACCOUNT,delete_account
B,help to cancel an order I made,ORDER,cancel_order
BIP,could you help me switching user?,ACCOUNT,switch_account
B,show me when will my item arrive,DELIVERY,delivery_period
BL,I want help to delete my user account,ACCOUNT,delete_account
BE,I do not know how I can find the invoice from January,INVOICE,check_invoice
BCEILQ,I'm not happy with ur service how can i make a reclamation,FEEDBACK,complaint
BEM,I do not know what I need to do to get refunds of money,REFUND,get_refund
B,report registration issue,ACCOUNT,registration_problems
BM,I want assistance reporting registration issues,ACCOUNT,registration_problems
BCELQ,i have not signed up yet help creating an online account,ACCOUNT,create_account
BM,assistance to check if there is any updates on my refund,REFUND,track_refund
BIP,how could I find information about the delivery options?,DELIVERY,delivery_options
B,I need assistance to check what payment methods you accept,PAYMENT,check_payment_methods
BI,can you help me to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BELQZ,i  do not know how i can see the early exit penalty,CANCELLATION_FEE,check_cancellation_fee
B,I need assistance to check my refund status,REFUND,track_refund
BI,how can I check what hours customer service available is?,CONTACT,contact_customer_service
BI,can you help me change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BIL,what do I have to do to open a basic account for my husband?,ACCOUNT,create_account
BIM,can you help me get the invoices?,INVOICE,get_invoice
BIMP,where could I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BI,is it possible to cancel the last order?,ORDER,cancel_order
BCELMQWZ,i cannot find the goddamn earpy exit charges i need help,CANCELLATION_FEE,check_cancellation_fee
BIL,how do I speak to customer assistance?,CONTACT,contact_customer_service
B,canceling subscription to your company newsletter,NEWSLETTER,newsletter_subscription
BILQ,what do i have to do to change to another user account,ACCOUNT,switch_account
BI,where do I get the invoice from my last purchase?,INVOICE,get_invoice
BI,how can I submit some feedback for your services?,FEEDBACK,review
BLQ,need assistance speaking with an operator,CONTACT,contact_human_agent
BLM,I don't know what to do to see the withdrawal fees,CANCELLATION_FEE,check_cancellation_fee
BIP,could you help me report a registration issue?,ACCOUNT,registration_problems
BI,where do I leave a review?,FEEDBACK,review
BE,I do not want the order,ORDER,cancel_order
BLQ,want help to check the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
B,help me submit some feedback for a service,FEEDBACK,review
BIP,could I check the status of my refund?,REFUND,track_refund
B,I need assistance leaving a review,FEEDBACK,review
B,I need assistance checking the status of my refund,REFUND,track_refund
BM,I have got to get the invoices,INVOICE,get_invoice
B,I want help taking a quick look at my invoice,INVOICE,check_invoice
B,I need assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,how do I check if there is anything new on my refund?,REFUND,track_refund
BM,help checking if there is any updates on my refund,REFUND,track_refund
BI,how can I track my last order?,ORDER,track_order
BI,where can I check when my delivery is going to arrive?,DELIVERY,delivery_period
BMP,I don't know how I could change some items of an order,ORDER,change_order
B,question about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
B,help checking at what time customer service available is,CONTACT,contact_customer_service
BMP,I would like information about user account deletions,ACCOUNT,delete_account
BCEILQ,i cannot remember my account pwd can ya help me restore it,ACCOUNT,recover_password
BMP,I would like to get the invoice from one purchases ago,INVOICE,get_invoice
B,I am trying to get a refund of money,REFUND,get_refund
BI,is it possible to set another shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address
B,I need help regarding my registration,ACCOUNT,registration_problems
B,I need help to check the status of the refund,REFUND,track_refund
BM,help me to check what delivery options you offer,DELIVERY,delivery_options
BLQW,want assistance speaking with a bloody live agent,CONTACT,contact_human_agent
B,I need assistance reporting a registration issue,ACCOUNT,registration_problems
B,I try to set a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BM,I want help to buy some items,ORDER,place_order
B,I don't know what to do to track an order,ORDER,track_order
BIP,would it be possible to report a registration issue?,ACCOUNT,registration_problems
BM,I want assistance solving payment issues,PAYMENT,payment_issue
B,I need help checking my refund status,REFUND,track_refund
BIP,would it be possible to change an order I have made?,ORDER,change_order
BM,I want to take a quick look at my invoices,INVOICE,check_invoice
B,I don't know how I can report a registration issue,ACCOUNT,registration_problems
BM,I need help to get the invoice from seven purchases ago,INVOICE,get_invoice
BCLMZ,"I have got to modify some of my personal details , help me",ACCOUNT,edit_account
BI,how can I find information about a user account deletion?,ACCOUNT,delete_account
BIP,could I leave a review for your company?,FEEDBACK,review
BIP,will you tell me what payment methods are available?,PAYMENT,check_payment_methods
B,assistance to talk to an agent,CONTACT,contact_human_agent
B,I want assistance to check your allowed payment methods,PAYMENT,check_payment_methods
BI,can you help me track my last order?,ORDER,track_order
BIP,where could I check how soon can I expect the item?,DELIVERY,delivery_period
BM,problems with canceling the order I made,ORDER,cancel_order
BIP,will you show me your allowed payment methods?,PAYMENT,check_payment_methods
BI,where can I cancel the company newsletter subscription?,NEWSLETTER,newsletter_subscription
B,I want assistance setting another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BI,where do I check when my delivery is going to arrive?,DELIVERY,delivery_period
B,help me to get a refund,REFUND,get_refund
BI,when am I going to get a refund?,REFUND,get_refund
BEM,I do not know what to do to get my invoices,INVOICE,get_invoice
BKM,getting invoices from last purchase,INVOICE,get_invoice
BL,assistance to talk to somebody,CONTACT,contact_human_agent
BP,I don't know how I could check your allowed payment methods,PAYMENT,check_payment_methods
BILQ,can uhelp me to use a new user profile,ACCOUNT,switch_account
BI,how do I find the invoice from April?,INVOICE,check_invoice
BLQ,wanna modify the information on my account,ACCOUNT,edit_account
BE,I do not know what I need to do to talk to an agent,CONTACT,contact_human_agent
BP,I would like to check how long the delivery takes,DELIVERY,delivery_period
BI,where do I submit some feedback for a service?,FEEDBACK,review
B,I am trying to check how soon can I expect the item,DELIVERY,delivery_period
BIMP,where could I get refunds?,REFUND,get_refund
BZ,I try to ocntact an agent,CONTACT,contact_human_agent
BIP,where could I file a complaint?,FEEDBACK,complaint
BMP,I would like to get the invoices from ten months ago,INVOICE,get_invoice
BL,talk with a live agent,CONTACT,contact_human_agent
B,I need to switch to another account,ACCOUNT,switch_account
BI,can I check how long refunds usually take?,REFUND,check_refund_policy
B,I want to submit some feedback for your company,FEEDBACK,review
B,I want help to delete the account,ACCOUNT,delete_account
BLMQ,want assistance to modify some of the details on my account,ACCOUNT,edit_account
BK,checking allowed payment methods,PAYMENT,check_payment_methods
BL,I need assistance resetting my account PIN,ACCOUNT,recover_password
BK,getting invoice,INVOICE,get_invoice
BP,I would like to know about the delivery period,DELIVERY,delivery_period
BI,how do I track my order?,ORDER,track_order
BI,where to file a complaint?,FEEDBACK,complaint
BM,send me the invoices from nine months ago,INVOICE,get_invoice
BEM,I do not know how to find the invoices from July,INVOICE,check_invoice
BL,help me see the status of my subscription to your newsletter,NEWSLETTER,newsletter_subscription
BM,I don't know what to do to take a quick look at my invoices,INVOICE,check_invoice
BIL,how can I make a complaint?,FEEDBACK,complaint
BI,under what circumstances can I ask to be refunded?,REFUND,check_refund_policy
B,check order ETA,ORDER,track_order
BI,can you help me to cancel the last order I have made?,ORDER,cancel_order
BI,can you help me leave a review?,FEEDBACK,review
B,talk to customer service,CONTACT,contact_customer_service
BIM,can you help me buy several of your item?,ORDER,place_order
BI,how can I find information about delivery periods?,DELIVERY,delivery_period
BCELQZ,ihave not registered yet i wanna open a user account,ACCOUNT,create_account
BL,I need help to speak to customer support,CONTACT,contact_customer_service
BILQ,where can i find information about my account cancellation,ACCOUNT,delete_account
BIM,how do I remove several items?,ORDER,change_order
B,help me editing my personal information,ACCOUNT,edit_account
B,I don't know how I can check how long the delivery takes,DELIVERY,delivery_period
BM,I want to buy a few of your item,ORDER,place_order
BILM,can you give me information about account removals?,ACCOUNT,delete_account
B,I need to use another account,ACCOUNT,switch_account
B,I need assistance recovering my password,ACCOUNT,recover_password
BLQ,want help modifying my user account,ACCOUNT,edit_account
BCELQZ,uare not helpful at all need help to speak with someody,CONTACT,contact_human_agent
BI,is it possible to get my invoice?,INVOICE,get_invoice
B,help me solving a payment issue,PAYMENT,payment_issue
B,checking ETA of order,ORDER,track_order
B,help to add an item,ORDER,change_order
BIP,could you help me to check my refund status?,REFUND,track_refund
BL,I have to speak with someone,CONTACT,contact_human_agent
BEP,I do not know how I could report a payment issue,PAYMENT,payment_issue
BK,get invoice,INVOICE,get_invoice
B,I need to check at what time customer service available is,CONTACT,contact_customer_service
BELQ,i do not know how to call customer assistance,CONTACT,contact_customer_service
BM,I need help getting refunds,REFUND,get_refund
BLQ,i want help checking the termination fee,CANCELLATION_FEE,check_cancellation_fee
BIP,could you help me talk to an agent?,CONTACT,contact_human_agent
B,I want to make a purchase,ORDER,place_order
B,assistance cancelling the last order,ORDER,cancel_order
BL,list the payment options,PAYMENT,check_payment_methods
BCELMQ,i cannot sign up i need help reporting registration issues,ACCOUNT,registration_problems
BI,can you help me to track my order?,ORDER,track_order
BI,can you help me deleting my account?,ACCOUNT,delete_account
B,help me to set a new shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
B,I call to submit some feedback for your services,FEEDBACK,review
BIM,how do I check what delivery options I can choose?,DELIVERY,delivery_options
BIMP,could you help me solve payment issues?,PAYMENT,payment_issue
BM,tell me about order cancelations,ORDER,cancel_order
B,help to cancel my order,ORDER,cancel_order
B,I need to edit my personal information,ACCOUNT,edit_account
BM,help me report an issue with payments,PAYMENT,payment_issue
BIP,could you help me check the status of the refund?,REFUND,track_refund
BLQ,help signing up to ur company newsletter,NEWSLETTER,newsletter_subscription
B,checking your money back policy,REFUND,check_refund_policy
BI,what do I need to do to track an order?,ORDER,track_order
B,I don't know how to get a refund of money,REFUND,get_refund
BILQ,is it possible to remove my gold account,ACCOUNT,delete_account
B,assistance to check my order ETA,ORDER,track_order
B,I don't know how to report an issue with payment,PAYMENT,payment_issue
BM,I want help to solve issues with payments,PAYMENT,payment_issue
BL,I don't know what to do to see the available payment methods,PAYMENT,check_payment_methods
BIM,can you help me to change some items of an order?,ORDER,change_order
BEM,I am looking for the delivery period,DELIVERY,delivery_period
BI,where do I get the invoice from last month?,INVOICE,get_invoice
BIP,could I check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
B,I can't track an order,ORDER,track_order
BL,I am trying to see what hours customer support available is,CONTACT,contact_customer_service
BM,I need help checking if there is any updates on my refund,REFUND,track_refund
BK,status of refund,REFUND,track_refund
BE,I do not know what I need to do to track my last order,ORDER,track_order
BI,is it possible to cancel an order I have made?,ORDER,cancel_order
BL,help to lodge a customer claim,FEEDBACK,complaint
BI,how can I check the status of my refund?,REFUND,track_refund
B,I don't know how I can get the invoice from last month,INVOICE,get_invoice
BM,I have issues trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I don't know what I need to do to contact an agent,CONTACT,contact_human_agent
B,I have to get a refund,REFUND,get_refund
BI,how can I check my refund status?,REFUND,track_refund
BM,I have to find my invoices,INVOICE,check_invoice
BI,can you give me information about a forgotten password?,ACCOUNT,recover_password
BIMP,could you help me solve issues with payments?,PAYMENT,payment_issue
BIP,where could I check your allowed payment methods?,PAYMENT,check_payment_methods
BIP,could you show me my order ETA?,ORDER,track_order
B,I have to make an order,ORDER,place_order
B,I want assistance to set up a new shipping address,SHIPPING_ADDRESS,set_up_shipping_address
BM,I try to get the invoices from 11 purchases ago,INVOICE,get_invoice
B,I want to leave a review,FEEDBACK,review
B,I have to contact an agent,CONTACT,contact_human_agent
BI,where to set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address
BM,I don't know what to do to get the invoices from August,INVOICE,get_invoice
BLQW,i dont know what to do to restore my goddamn account pass,ACCOUNT,recover_password
BMP,I don't know how I could report an issue with payments,PAYMENT,payment_issue
BI,what do I need to do to leave a review for your services?,FEEDBACK,review
B,send me the invoice,INVOICE,get_invoice
BM,help me checking what delivery options I have,DELIVERY,delivery_options
BI,is it possible to set up another shipping address?,SHIPPING_ADDRESS,set_up_shipping_address
BM,I am trying to check what delivery options I have,DELIVERY,delivery_options
B,help to get the invoice from September,INVOICE,get_invoice
B,assistance checking when will my item arrive,DELIVERY,delivery_period
BLZ,I want to know more about updating the delivery addresxs,SHIPPING_ADDRESS,change_shipping_address
B,I have an issue trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BM,I am calling to check what delivery options I can choose,DELIVERY,delivery_options
B,help me track an order,ORDER,track_order
BI,where to submit some feedback?,FEEDBACK,review
BIP,could you tell me what hours customer service available is?,CONTACT,contact_customer_service
B,show me at what time I can contact customer service,CONTACT,contact_customer_service
BEM,I do not know how I can check the invoices,INVOICE,check_invoice
BI,what do I need to do to buy something?,ORDER,place_order
BL,making customer claim against your company,FEEDBACK,complaint
BKM,help with payments,PAYMENT,payment_issue
BP,I would like to know more about delivery period,DELIVERY,delivery_period
BCELQWZ,i cannot understand ya i have got tocontact a goddamn person,CONTACT,contact_human_agent
BIP,how could I find information about a password recovery?,ACCOUNT,recover_password
BIM,how to buy several of your item?,ORDER,place_order
B,I want information about a forgotten password,ACCOUNT,recover_password
B,I am trying to check the status of my refund,REFUND,track_refund
BIP,could I set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address
BI,can you help me to leave a review for a service?,FEEDBACK,review
B,I want to know more about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQ,want help to check at what time I can call customer support,CONTACT,contact_customer_service
BILQ,can ya tell me more about a pin code recovery,ACCOUNT,recover_password
BLQ,making complaint against ur company,FEEDBACK,complaint
BCLZ,"I have got to see the allowed payment methods , help me",PAYMENT,check_payment_methods
BP,I don't know how I could check my order ETA,ORDER,track_order
B,I need help deleting the account,ACCOUNT,delete_account
B,I want help tracking my last order,ORDER,track_order
BI,what payment methods are available?,PAYMENT,check_payment_methods
B,I don't know what I need to do to switch user,ACCOUNT,switch_account
BLQW,i have an issue trying to edit my goddamn delivery address,SHIPPING_ADDRESS,change_shipping_address
BELQZ,i do not know what to do to correct my shipping  address,SHIPPING_ADDRESS,change_shipping_address
BLQ,i dont know how to change to a different user account,ACCOUNT,switch_account
BM,issues setting a new shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BIM,is it possible to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BM,help me solve payment issues,PAYMENT,payment_issue
B,I need assistance to edit the information on my account,ACCOUNT,edit_account
BE,I do not know how I can set a new shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BIP,where could I make an order?,ORDER,place_order
BM,I want to know about order cancellations,ORDER,cancel_order
BIMP,would you give me information about user account deletions?,ACCOUNT,delete_account
BI,can you help me check my invoice?,INVOICE,check_invoice
BI,how do I register?,ACCOUNT,create_account
B,I need assistance to remove an item,ORDER,change_order
BL,help checking at what time customer assistance available is,CONTACT,contact_customer_service
BE,I do not know how I can cancel the order I made,ORDER,cancel_order
BIM,where do I check the invoices from my last purchase?,INVOICE,check_invoice
BP,I don't know how I could make an order,ORDER,place_order
BIP,could you help me to delete my account?,ACCOUNT,delete_account
BIP,would it be possible to delete the account?,ACCOUNT,delete_account
BP,I would like to check the refund status,REFUND,track_refund
B,I want assistance to check how long refunds usually take,REFUND,check_refund_policy
BI,when will I get a refund?,REFUND,get_refund
BI,where do I set up a different shipping address?,SHIPPING_ADDRESS,set_up_shipping_address
BE,I cannot check my order ETA,ORDER,track_order
B,I try to leave a review for your services,FEEDBACK,review
BMQ,need help checking the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
B,I want help trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BKL,make consumer claim against your company,FEEDBACK,complaint
B,help taking a quick look at the invoice from October,INVOICE,check_invoice
BM,I am calling to get the invoices from five purchases ago,INVOICE,get_invoice
B,I want to know more about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BE,I do not know how to get the invoice from April,INVOICE,get_invoice
BILQ,how to talk with somebody,CONTACT,contact_human_agent
BEP,I do not know how I could get a refund,REFUND,get_refund
BILQ,what do i need to do to report a signup issue,ACCOUNT,registration_problems
BK,use another account,ACCOUNT,switch_account
B,help with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BLMQZ,i caznt notify of registration errors,ACCOUNT,registration_problems
BIP,could I check at what time customer service available is?,CONTACT,contact_customer_service
BILQ,can uhelp me to open an online account,ACCOUNT,create_account
BI,what do I need to do to contact an agent?,CONTACT,contact_human_agent
BL,I don't know what to do to switch to another user profile,ACCOUNT,switch_account
BI,what are your allowed payment methods?,PAYMENT,check_payment_methods
BE,I do not know how I can set up another shipping address,SHIPPING_ADDRESS,set_up_shipping_address
BI,do you have a section to submit a review?,FEEDBACK,review
BM,I need assistance to get the invoices from last month,INVOICE,get_invoice
BIM,can I report registration issues?,ACCOUNT,registration_problems
BM,I need information about the delivery periods,DELIVERY,delivery_period
B,I am trying to check my order ETA,ORDER,track_order
B,help me to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription
BIL,what do I need to do to delete a user account?,ACCOUNT,delete_account
BLQ,wanna know about my pwd retrieval,ACCOUNT,recover_password
B,I need help checking in what cases can I ask for a refund,REFUND,check_refund_policy
B,I have got to file a complaint against your business,FEEDBACK,complaint
B,I have got to check what payment methods are available,PAYMENT,check_payment_methods
B,assistance making a purchase,ORDER,place_order
BMP,I would like to know more about the delivery period,DELIVERY,delivery_period
BI,how do I check your refund policy?,REFUND,check_refund_policy
